Column,Type,KS/Chi-Z P-value,T-test p,Levene p,Remarks,Conclusion
TRAFFIC_CONTROL_DEVICE,Categorical,0.9895594781430906,,,,Same distribution
DEVICE_CONDITION,Categorical,0.12358286627641951,,,,Same distribution
WEATHER_CONDITION,Categorical,0.9548880875833392,,,,Same distribution
LIGHTING_CONDITION,Categorical,0.7273884709122354,,,,Same distribution
FIRST_CRASH_TYPE,Categorical,0.46117096654583956,,,,Same distribution
TRAFFICWAY_TYPE,Categorical,0.4116822654598291,,,,Same distribution
ALIGNMENT,Categorical,0.6781171234389418,,,,Same distribution
ROADWAY_SURFACE_COND,Categorical,0.33541665648338626,,,,Same distribution
ROAD_DEFECT,Categorical,0.5978101099950921,,,,Same distribution
REPORT_TYPE,Categorical,0.8126989394553534,,,,Same distribution
DAMAGE,Categorical,0.13274340244772767,,,,Same distribution
PRIM_CONTRIBUTORY_CAUSE,Categorical,0.19974641009348815,,,,Same distribution
SEC_CONTRIBUTORY_CAUSE,Categorical,0.8369502998987407,,,,Same distribution
STREET_DIRECTION,Categorical,0.1790471761259156,,,,Same distribution
STREET_NAME,Categorical,1.0,,,,Same distribution
WORK_ZONE_TYPE,Categorical,0.26029319387531247,,,,Same distribution
MOST_SEVERE_INJURY,Categorical,0.3918048258758472,,,,Same distribution
CRASH_DATE_EST_I,Binary,0.9599137575353766,,,,Same distribution
CRASH_TYPE,Binary,0.8720076880049682,,,,Same distribution
INTERSECTION_RELATED_I,Binary,0.33039086778699667,,,,Same distribution
NOT_RIGHT_OF_WAY_I,Binary,0.34561892205726163,,,,Same distribution
HIT_AND_RUN_I,Binary,0.7994887957116714,,,,Same distribution
PHOTOS_TAKEN_I,Binary,0.8256978642083266,,,,Same distribution
STATEMENTS_TAKEN_I,Binary,0.9913237363789769,,,,Same distribution
DOORING_I,Binary,0.39140383846036564,,,,Same distribution
WORK_ZONE_I,Binary,0.28775374064345294,,,,Same distribution
WORKERS_PRESENT_I,Binary,0.944649113821026,,,,Same distribution
